,OBJECTID,Name,Layer,gml_id,code,grade,Shape_Leng,Shape_Area,geometry
64,83,宝龙街道,乡镇,layer_township_pg.15768,440307019000,4,42885.80930890001,52701632.18900001,POINT (114.2952843858193 22.71136333206792)
65,84,坪地街道,乡镇,layer_township_pg.15769,440307006000,4,41323.9680539,62782878.561,POINT (114.3040256128805 22.7786593694981)
66,85,南澳街道,乡镇,layer_township_pg.15770,440307011000,4,70562.796529,135232006.326,POINT (114.5380034438149 22.51451793956501)
67,86,园山街道,乡镇,layer_township_pg.15771,440307020000,4,45690.5978843,55379677.895500004,POINT (114.2280582365581 22.64563426957514)
68,87,吉华街道,乡镇,layer_township_pg.15772,440307018000,4,30013.1413282,23358228.9375,POINT (114.0987430687187 22.63412603811608)
69,88,大鹏街道,乡镇,layer_township_pg.15773,440307010000,4,63412.6620416,88798113.0557,POINT (114.5036482850048 22.60199187379314)
70,19,南山街道,乡镇,layer_township_pg.15704,440305002000,4,33035.17279280001,38754464.967199996,POINT (113.8911273584019 22.51356938009944)
71,48,海山街道,乡镇,layer_township_pg.15733,440308004000,4,12242.84350195,8851194.99292,POINT (114.2298682927088 22.56426415049962)
72,43,盐田街道,乡镇,layer_township_pg.15728,440308002000,4,32169.2324042,53589856.4268,POINT (114.2610436796775 22.60266935201232)
73,30,坑梓街道,乡镇,layer_township_pg.15715,440310005000,4,30569.06162895,62642215.26299999,POINT (114.384689538151 22.72313449498843)
