name,lat,lng
布吉,22.608013,114.128027
长龙,22.614274,114.120431
下水径,22.62123,114.117164
上水径,22.627942,114.111884
杨美,22.632634,114.086573
坂田,22.633264,114.077405
五和,22.632054,114.067291
民治,22.623459,114.047419
深圳北站,22.616667,114.037138
长岭陂,22.605556,114.016794
塘朗,22.596454,114.006482
大学城,22.588416,113.972166
西丽,22.586456,113.960285
留仙洞,22.586132,113.950414
兴东,22.587478,113.925339
洪浪北,22.580576,113.917157
灵芝,22.5754,113.910988
翻身,22.566009,113.899729
宝安中心,22.560836,113.893654
宝华,22.556037,113.891433
临海,22.550297,113.895487
前海湾,22.542733,113.904232
桂湾,22.538175,113.904268
前湾,22.528421,113.902289
前湾公园,22.522213,113.895803
妈湾,22.513829,113.892659
铁路公园,22.50929,113.896385
荔湾,22.503907,113.900135
赤湾,22.485483,113.904203
科学馆,22.546109,114.102113
通新岭,22.554809,114.102685
体育中心,22.560866,114.102186
八卦岭,22.567229,114.100836
银湖,22.574309,114.096286
翰岭,22.579926,114.07578
梅林关,22.600114,114.059906
深圳北站,22.616667,114.037138
红山,22.627971,114.029976
上芬,22.64653,114.023107
元芬,22.662456,114.011669
