field_1,Unnamed_ 0,name,lat,lng,district,layer,path
"243","243",福田口岸,"22.521671","114.07583",地铁4号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"244","244",福民,"22.529772","114.072814","地铁10号线;地铁4号线;地铁7号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"245","245",岗厦地铁站,"22.540518","114.072207","3路;38路;62路;63路;80路;E10路;E20路;M198路;M224路;M329路;高峰专线23路;高峰专线29号;高快巴士27路",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"246","246",岗厦北,"22.546799","114.075212","地铁10号线;地铁2号线;地铁8号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"247","247",莲花村,"22.554522","114.074512","地铁10号线;地铁3号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"248","248",冬瓜岭,"22.565792","114.074191",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"249","249",孖岭,"22.573885","114.074247","地铁10号线;地铁9号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"250","250",雅宝,"22.609073","114.06687",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"251","251",南坑,"22.61661","114.067048",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"252","252",光雅园,"22.622193","114.06744",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"253","253",五和,"22.632054","114.067291","地铁10号线;地铁5号线",10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"254","254",坂田北,"22.640759","114.069957",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"255","255",贝尔路,"22.647312","114.072963",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"256","256",华为,"22.65625","114.073896",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"257","257",岗头,"22.662603","114.078351",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"258","258",雪象,"22.66208","114.086485",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"259","259",甘坑,"22.653966","114.112476",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"260","260",凉帽山,"22.652839","114.1253",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"261","261",上李朗,"22.660266","114.133527",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"262","262",木古,"22.676506","114.128906",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"263","263",华南城,"22.682557","114.128699",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"264","264",禾花,"22.692145","114.12755",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"265","265",平湖,"22.699925","114.132448",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"266","266",双拥街,"22.704901","114.139355",地铁10号线,10号线,E:/jojo/UCL/T2/0012/Q1_QGIS/10号线.shp|layername=10号线
"267","267",福田,"22.545641","114.060784","地铁11号线;地铁2号线;地铁3号线;地铁8号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"268","268",车公庙,"22.541996","114.03365","地铁11号线;地铁1号线;地铁7号线;地铁9号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"269","269",红树湾南,"22.529139","113.977916","地铁11号线;地铁9号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"270","270",后海,"22.523707","113.947799","地铁11号线;地铁2号线;地铁8号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"271","271",南山,"22.52975","113.93043",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"272","272",前海湾,"22.542733","113.904232","地铁11号线;地铁1号线;地铁5号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"273","273",宝安,"22.56102","113.886846",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"274","274",碧海湾,"22.581116","113.862751",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"275","275",机场,"22.629272","113.820643",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"276","276",机场北,"22.6573","113.804835","地铁11号线;地铁20号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"277","277",福永,"22.679392","113.812576",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"278","278",桥头,"22.693717","113.817459",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"279","279",塘尾,"22.707808","113.824469",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"280","280",马安山,"22.722572","113.823606",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"281","281",沙井,"22.736069","113.830973",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"282","282",后亭,"22.758302","113.833406",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"283","283",松岗,"22.777998","113.836299","地铁11号线;地铁6号线",11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"284","284",碧头,"22.790312","113.826539",地铁11号线,11号线,E:/jojo/UCL/T2/0012/Q1_QGIS/11号线.shp|layername=11号线
"1","0",罗湖,"22.537936","114.125317",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"2","1",国贸,"22.546055","114.125156",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"3","2",老街,"22.55087","114.122738","地铁1号线;地铁3号线",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"4","3",大剧院,"22.547971","114.114678","地铁1号线;地铁2号线;地铁8号线",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"5","4",科学馆,"22.546109","114.102113","地铁1号线;地铁6号线",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"6","5",华强路,"22.546355","114.09171",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"7","6",岗厦地铁站,"22.540518","114.072207","3路;38路;62路;63路;80路;E10路;E20路;M198路;M224路;M329路;高峰专线23路;高峰专线29号;高快巴士27路",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"8","7",会展中心,"22.540331","114.067692","地铁1号线;地铁4号线",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"9","8",购物公园,"22.540108","114.060562","地铁1号线;地铁3号线",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"10","9",香蜜湖,"22.544666","114.045221",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"11","10",车公庙,"22.541996","114.03365","地铁11号线;地铁1号线;地铁7号线;地铁9号线",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"12","11",竹子林,"22.539593","114.020418",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"13","12",侨城东,"22.538687","114.003193",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"14","13",华侨城,"22.539709","113.991722",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"15","14",世界之窗,"22.542891","113.980583","地铁1号线;地铁2号线;地铁8号线",1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"16","15",白石洲,"22.545597","113.973369",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
"17","16",高新园,"22.546035","113.960423",地铁1号线,1号线,E:/jojo/UCL/T2/0012/Q1_QGIS/1号线.shp|layername=1号线
