,Origin,Average_metro_time,Average_walk_time,Average_other_time,Average_traffic_time,Average_waiting_time,Average_total_time,Average_metro_line_transfer,Min_metro_time,Traffic_time_of min_metro_time,Transfer_of_min_metro_time,Min_traffic_time,Metro_time_of_min_traffic_time,Transfer_of_min_traffic_time,Median_metro_time,Median_traffic_time,Median_metro_line_transfer,Count_of_only_bus_round,Count_of only_walk_round,Count_of_none_data
0,启迪协信(深圳)科技园,73.56666666666666,19.416666666666668,7.177777777777777,100.16111111111111,15.0,115.16111111111111,1.0,55.68333333333334,82.7,2,82.7,55.68333333333334,2,57.0,85.35,1,0,0,0
1,中国科技开发院中科研发园,38.550000000000004,13.449999999999998,0.0,52.0,5.000000000000003,57.0,1.0,26.116666666666667,37.55,1,37.55,26.116666666666667,1,43.96666666666667,59.03333333333333,1,0,0,0
2,创智云城,37.855555555555554,12.883333333333333,0.0,50.73888888888889,5.0,55.73888888888889,1.0,28.066666666666666,41.35,1,41.35,28.066666666666666,1,32.4,43.266666666666666,1,0,0,0
